Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
150.0277724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0360449,32330,0,11230,0,0,0,0,0,0,0,0,0,0,0,0
151.0400677,0,0,0,18030,0,0,11960,0,0,12220,0,0,14110,0,0
151.0513011,17300,0,23630,0,0,0,0,0,0,0,0,0,0,0,0
151.0724304,27280,21420,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0754212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0764532,0,0,0,13510,0,0,12670,0,0,11240,0,0,12110,10520,0
153.0193322,0,0,0,13400,0,0,10110,0,0,0,0,0,10930,0,0
153.050846,0,0,15900,0,0,0,0,0,0,0,0,0,0,0,0
153.051695,25300,18320,0,0,0,0,0,0,0,0,0,0,0,0,0
153.0557177,0,0,0,12990,0,0,10860,0,0,0,0,0,0,0,0
153.0921032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.0309595,15590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.0703359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.0618657,22890,18800,15780,0,0,0,0,0,0,0,0,0,0,0,0
157.0658885,0,0,0,15360,12750,11310,14210,12880,12660,11500,12440,13180,13060,0,11990
158.0611375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.1550378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0411303,35870,0,15780,0,0,0,0,0,0,0,0,0,0,0,0
159.0441211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.045153,0,0,0,22020,11940,0,16900,12560,0,0,11310,11780,18760,11620,11820
159.0775158,0,14260,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0815386,0,0,0,12000,11260,0,11370,11190,0,11120,10050,0,0,10300,10810
160.040402,18260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.0767875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0203948,29320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0244176,0,0,0,20800,0,0,12240,0,0,0,0,0,14950,0,0
161.0597712,0,0,0,0,0,0,0,0,0,15550,0,0,0,0,0
161.0608031,0,0,0,22210,12460,13630,17380,12670,13080,0,14370,12510,17750,13490,12470
161.0931659,24770,20800,21170,0,0,0,0,0,0,0,0,0,0,0,0
161.0971886,0,0,0,15140,12160,12210,0,13260,12400,13700,13310,12840,13810,13440,0
162.0560521,19350,17120,16050,0,0,0,0,0,0,0,0,0,0,0,0
162.0958084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.9996594,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0036822,0,0,0,10620,0,0,0,0,0,0,0,0,0,0,0
163.0360449,31700,12490,11550,0,0,0,0,0,0,0,0,0,0,0,0
163.0400677,0,0,0,18510,0,0,13450,0,0,12710,0,0,14560,0,0
163.0724304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0754212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0764532,0,0,0,22050,0,12870,0,14070,12590,18420,14900,13560,0,0,13630
163.1088159,20450,17720,15650,0,0,0,0,0,0,0,0,0,0,0,0
163.1128387,0,0,0,11800,0,0,10990,0,0,11320,0,0,10150,0,0
165.0153095,19110,13000,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0193322,0,0,0,14060,0,0,0,0,0,0,0,0,0,0,0
165.051695,0,21120,18480,0,0,0,0,0,0,0,0,0,0,0,0
165.0546858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0557177,0,0,0,19480,0,0,15450,0,0,13560,0,0,15250,0,0
165.0880805,27780,21250,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0910713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0921032,0,0,0,16930,10360,10320,15400,10700,11000,15330,12490,11440,13850,11230,10340
166.0750869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
