Theor.Mass,S_4,I_4,D_4,S_9,I_9,D_9,S_10,I_10,D_10,S_12A,I_12A,D_12A,S_12B,I_12B,D_12B
Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
150.0266753,0,0,0,0,15210,0,0,0,17810,0,0,0,0,0,0
150.0396988,20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.0509322,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0
151.0178411,0,15740,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0307279,0,0,11390,0,0,0,0,0,0,0,0,0,0,0,0
151.0389705,0,0,0,12660,0,0,0,0,0,0,0,0,0,0,0
151.0648081,0,16220,0,0,0,0,0,0,0,0,0,0,0,0,0
151.075356,0,0,0,25110,0,17460,13090,0,18610,0,16810,16750,15940,15810,16400
151.1117415,0,0,0,12810,0,0,0,0,0,0,0,0,0,0,0
153.0535886,0,0,0,0,0,0,0,10810,12070,0,11530,10420,0,0,11090
153.0546206,0,0,0,15380,11560,11520,0,0,0,0,0,0,10190,11620,0
153.0804582,15830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.0910061,0,0,0,14260,0,10900,0,11230,13880,0,10080,0,0,0,0
154.0644737,0,0,0,0,0,0,10030,0,0,0,0,12170,0,0,0
155.0692387,0,0,0,0,10300,12650,0,0,13440,0,0,0,12530,0,0
155.0702706,0,0,0,13340,0,0,0,0,0,0,0,0,0,0,0
156.0655196,0,20600,0,0,0,0,0,0,0,0,0,0,0,0,0
157.0647913,0,0,0,22680,0,0,13300,21350,21230,0,17810,18200,11540,17680,19250
158.0729271,0,0,0,15170,10580,11860,0,13700,0,0,12050,0,0,0,11770
158.1539407,0,0,0,71350,27590,66980,32910,76590,125300,14290,56900,85360,21910,53940,82480
159.033508,13180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0440559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0512665,0,0,12250,0,0,0,0,0,0,0,0,0,0,0,0
159.0804414,0,0,0,57230,0,47950,34300,49150,56130,19750,49950,49210,36780,43990,51060
159.1572955,0,0,0,10420,0,0,0,0,15520,0,0,0,0,0,11090
159.9980476,0,12590,0,0,0,0,0,0,0,0,0,0,0,0,0
160.0756904,0,0,0,19430,12650,13290,12530,0,0,0,0,0,14150,0,0
160.0790612,0,0,0,0,0,0,0,23130,0,0,23550,0,0,0,23890
161.049158,30310,15660,17120,0,0,0,0,0,0,0,0,0,0,0,0
161.0597059,0,0,0,31890,0,21950,16940,0,24010,10270,0,21180,17520,21180,24700
161.0960915,0,0,0,54500,36370,48310,0,46270,49640,16740,41150,37340,33050,36400,40040
162.0549549,0,0,0,0,0,0,0,10210,0,0,11200,0,0,0,0
162.0913404,0,0,0,14490,0,0,0,0,0,0,0,0,0,0,0
162.0947112,0,0,0,0,0,18850,14650,19200,0,0,0,0,0,0,0
163.0379386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16190
163.0389705,0,0,0,145100,90450,120100,41980,49270,0,0,19120,17530,10960,16710,0
163.0461811,0,19080,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0648081,34900,26760,21740,0,0,0,0,0,0,0,0,0,0,0,0
163.075356,0,0,0,39830,27880,30260,24580,28710,0,0,30180,28630,0,27060,31700
163.1117415,0,0,0,28420,18540,20210,17140,19670,22270,0,18930,0,17950,16200,18670
164.0423253,0,0,0,18170,0,15240,0,0,0,0,0,0,0,0,0
164.0583397,0,11920,0,0,0,0,0,0,0,0,0,0,0,0,0
164.070605,0,0,0,0,0,0,0,0,0,0,0,0,0,14270,0
164.0739758,0,0,0,0,0,0,10430,0,0,0,0,0,0,0,0
164.1069905,0,0,0,0,0,0,0,0,0,0,0,10570,0,0,0
165.0294684,0,10630,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0423552,0,17160,16520,0,0,0,0,0,0,0,0,0,0,0,0
165.0535886,0,0,0,0,0,10260,0,0,0,0,0,0,0,0,0
165.0546206,0,0,0,16720,0,0,0,0,0,0,0,0,0,0,0
165.0804582,27500,19280,18730,0,0,0,0,0,0,0,0,0,0,0,0
165.0910061,0,0,0,30520,17810,19350,15330,0,0,0,0,19110,0,0,0
165.1273916,0,0,0,10190,0,0,0,0,0,0,0,0,0,0,0
166.0376042,0,11620,11990,0,0,0,0,0,0,0,0,0,0,0,0
166.0627563,19360,14110,0,0,0,0,0,0,0,0,0,0,0,0,0
166.0644737,0,0,13920,0,0,0,0,0,0,0,0,0,0,0,0
166.0739897,0,0,0,29680,0,0,14530,0,0,0,34310,33650,0,29830,0
167.0239891,13590,10170,10300,0,0,0,0,0,0,0,0,0,0,0,0
167.0702706,0,0,0,0,0,0,0,25440,27200,13880,28980,23130,23960,20950,27640
167.0961082,13050,0,10730,0,0,0,0,0,0,0,0,0,0,0,0
167.1066561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168.057277,0,0,0,19750,15520,15560,0,16130,21710,0,0,0,10860,0,18300
168.0801238,0,0,0,0,0,0,0,0,19640,0,0,0,0,0,0
169.0372699,13520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0396392,0,0,11100,0,0,0,0,0,0,0,0,0,0,0,0
169.0495352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.052906,0,0,11450,0,0,0,0,0,0,0,0,0,0,0,0
169.0647913,0,0,0,0,0,22950,11690,0,0,0,23820,20860,14870,20950,25070
169.0736554,14770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0753728,0,0,10240,0,0,0,0,0,0,0,0,0,0,0,0
169.0859207,0,0,0,12300,0,10370,0,0,0,0,0,0,0,0,0
170.0659135,0,0,0,0,0,0,0,0,0,0,14400,0,0,0,0
170.0771469,0,0,0,12240,0,0,0,0,0,0,0,0,0,0,0
170.9932826,0,10180,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0351614,0,0,10110,0,0,0,0,0,0,0,0,0,0,0,0
171.0611625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0804414,0,0,0,35850,0,33200,20490,36360,38430,0,0,32680,24460,0,35980
171.1379563,13390,0,36600,0,0,13780,0,0,10720,0,0,0,0,0,0
171.1491897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.0756904,0,0,0,11190,0,0,0,0,0,0,0,0,0,0,0
172.0885772,0,0,0,12720,0,0,0,11330,11920,0,0,11370,0,0,0
172.1695908,0,0,0,75400,24750,59140,32800,66700,110800,16640,55390,79970,22690,53180,81860
173.0474406,18380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.049158,0,11950,18140,0,0,0,0,0,0,0,0,0,0,0,0
173.0597059,0,0,0,23600,17120,0,13700,20740,17910,0,16820,18470,11720,16070,18390
173.0669166,14470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.06857,0,86070,12740,0,0,0,0,0,0,0,0,0,0,0,0
173.0798034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0838261,44660,31500,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0960915,0,0,0,59780,45100,47850,34250,56670,57330,20590,53650,52320,38140,48560,55290
